home_team,probability,total_games,reliability,confidence
AEK Athens,0.7,10,Low,0.284030984225313
AEK Larnaca,0.5555555555555556,9,Low,0.32464394339996944
AEL,0.6,5,Low,0.4294144850840502
AS Karditsas,0.7142857142857143,7,Low,0.3346640106136302
ASA,0.38461538461538464,13,Low,0.26446672582181185
Ada Blois,0.46153846153846156,13,Low,0.27099775187306424
Adelaide,0.5555555555555556,9,Low,0.32464394339996944
Aix Maurienne,0.6153846153846154,13,Low,0.26446672582181185
Alba Berlin,0.3684210526315789,19,Low,0.21690287721140625
Alba Fehervar,0.4,15,Low,0.2479225685572009
Alkar,0.6666666666666666,9,Low,0.3079842869168074
Alytaus Alytus,0.46153846153846156,13,Low,0.27099775187306424
Anadolu Efes,0.7058823529411765,17,Low,0.21659993126945168
Ankara Kolejliler,0.5,12,Low,0.2829016319029166
Anorthosis,0.6666666666666666,12,Low,0.2667222164363905
Antibes,0.6923076923076923,13,Low,0.25089516567725745
Antwerp Giants,0.4375,16,Low,0.24307840170405925
Anwil Wloclawek,0.42857142857142855,14,Low,0.2592296279363144
Anyang JungKwanJang,0.8181818181818182,11,Low,0.2279309476674526
Argentino,0.42857142857142855,7,Low,0.3666060555964672
Arges Pitesti,0.6666666666666666,15,Low,0.23856360282447234
Aris,0.6,15,Low,0.2479225685572009
Artland,0.7272727272727273,11,Low,0.2631919879849005
Assigeco Piacenza,0.5833333333333334,12,Low,0.2789447708511224
Astana,0.6,15,Low,0.2479225685572009
Atenas,0.8333333333333334,6,Low,0.2982045035305904
Atomeromu Paks,0.2222222222222222,9,Low,0.27161661029914536
Avellino Basket,0.5454545454545454,11,Low,0.29425758813377273
BAL Weert,0.45454545454545453,11,Low,0.29425758813377273
BBC Monthey,0.3333333333333333,6,Low,0.3772021758705555
BBC Nord,0.1111111111111111,9,Low,0.20532285794453822
BBK Radnicki,0.3333333333333333,6,Low,0.3772021758705555
BC Dnipro,0.75,12,Low,0.245
BC Kalev/Cramo,0.5333333333333333,15,Low,0.252471985978056
BC Komarno,0.45454545454545453,11,Low,0.29425758813377273
BC Nokia,0.9090909090909091,11,Low,0.16988969772012374
BC Olimpas Palanga,0.3076923076923077,13,Low,0.25089516567725745
BC Prievidza,0.5882352941176471,17,Low,0.2339546649750468
BC Steaua Bucuresti,0.5555555555555556,9,Low,0.32464394339996944
BC Timisoara,0.2857142857142857,7,Low,0.3346640106136302
BC Wolves,0.7647058823529411,17,Low,0.2016435622473652
BK Liepaja,0.5,10,Low,0.3099032106965012
BK Ogre,0.5454545454545454,11,Low,0.29425758813377273
BK Zaporozhye,1.0,7,Very High,0.0
BKM Lucenec,0.4,10,Low,0.3036418943426615
Bahcesehir Kol.,0.7333333333333333,15,Low,0.2237924964816325
Balikesir,0.25,12,Low,0.245
Balkan,0.38461538461538464,13,Low,0.26446672582181185
Bamberg,0.25,8,Low,0.3000624934909393
Barcelona,0.6363636363636364,11,Low,0.2842798380047696
Barnaul,0.45454545454545453,11,Low,0.29425758813377273
Barreirense,0.8571428571428571,7,Low,0.25922962793631443
Bars Rostov,0.5,10,Low,0.3099032106965012
Basket Napoli,0.625,8,Low,0.33548006647191425
Basket Torino,0.4166666666666667,12,Low,0.27894477085112235
Basket Zaragoza,0.42857142857142855,7,Low,0.3666060555964672
Basketball Braunschweig,0.6428571428571429,14,Low,0.25099800796022265
Baskonia,0.6363636363636364,11,Low,0.2842798380047696
Bayern,0.42105263157894735,19,Low,0.22200717267873302
Bayreuth,0.5454545454545454,11,Low,0.29425758813377273
Belfius Mons,0.5454545454545454,11,Low,0.29425758813377273
Benfica,0.2727272727272727,11,Low,0.2631919879849005
Benfica Lisboa B,0.8571428571428571,7,Low,0.25922962793631443
Beroe,0.6666666666666666,6,Low,0.3772021758705555
Besiktas,0.6,15,Low,0.2479225685572009
Bilbao,0.7777777777777778,9,Low,0.27161661029914536
Bisons Loimaa,0.5454545454545454,11,Low,0.29425758813377273
Boca Juniors,0.6,10,Low,0.3036418943426615
Bochum,0.45454545454545453,11,Low,0.29425758813377273
Bonn,0.42857142857142855,14,Low,0.2592296279363144
Borac,0.6,10,Low,0.3036418943426615
Borac Banja Luka,0.7142857142857143,7,Low,0.3346640106136302
Bordo Sportif,0.5,12,Low,0.2829016319029166
Botafogo,0.6666666666666666,6,Low,0.3772021758705555
Boulazac,0.5,12,Low,0.2829016319029166
Braga,0.5714285714285714,7,Low,0.3666060555964672
Brasilia,0.6,5,Low,0.4294144850840502
Bremerhaven,0.5454545454545454,11,Low,0.29425758813377273
Brescia,0.5,8,Low,0.3464823227814083
Brindisi,0.5454545454545454,11,Low,0.29425758813377273
Brisbane Bullets,0.2,10,Low,0.24792256855720096
Brno,0.5833333333333334,12,Low,0.2789447708511224
Budapesti Honved Se,0.375,8,Low,0.33548006647191425
Buducnost,0.7222222222222222,18,Low,0.2069207252957695
Bursaspor,0.38461538461538464,13,Low,0.26446672582181185
Busan BNK Sum W,0.8333333333333334,6,Low,0.2982045035305904
Buyukcekmece,0.5714285714285714,7,Low,0.3666060555964672
CA Queluz,0.4,5,Low,0.4294144850840502
CAB Madeira,0.6666666666666666,6,Low,0.3772021758705555
CB Queluz,0.6,5,Low,0.4294144850840502
CD Povoa,1.0,5,Very High,0.0
CO Basket,0.4166666666666667,12,Low,0.27894477085112235
CSKA Moscow,0.7692307692307693,13,Low,0.22903490301738305
CSKA Moscow 2,0.45454545454545453,11,Low,0.29425758813377273
CSM Constanta,0.47058823529411764,17,Low,0.23727333662069458
CSM Oradea,0.5294117647058824,17,Low,0.23727333662069458
CSM Targu Mures,0.6666666666666666,9,Low,0.3079842869168074
CSU Sibiu,0.5555555555555556,9,Low,0.32464394339996944
Cacak 94,0.42857142857142855,7,Low,0.3666060555964672
Caen,0.6923076923076923,13,Low,0.25089516567725745
Cair 2030,0.16666666666666666,6,Low,0.29820450353059047
Cairns Taipans,0.9166666666666666,12,Low,0.15637976093353526
Caledonia Gladiators,0.4,10,Low,0.3036418943426615
Cantu,0.5833333333333334,12,Low,0.2789447708511224
Cayirova,0.3333333333333333,12,Low,0.2667222164363905
Cearense,0.6,5,Low,0.4294144850840502
Cedevita Junior,0.5833333333333334,12,Low,0.2789447708511224
Cedevita Olimpija,0.4117647058823529,17,Low,0.2339546649750468
Cento,0.4166666666666667,12,Low,0.27894477085112235
Chalon/Saone,0.4444444444444444,9,Low,0.32464394339996944
Chalons-Reims,0.23076923076923078,13,Low,0.22903490301738305
Chartres,0.38461538461538464,13,Low,0.26446672582181185
Chelyabinsk,0.7,10,Low,0.284030984225313
Chemnitz,0.5384615384615384,13,Low,0.27099775187306424
Cherkaski Mavpy,0.375,8,Low,0.33548006647191425
Cherno More,0.5,8,Low,0.3464823227814083
Cholet,0.4,15,Low,0.2479225685572009
Cibona,0.65,20,Low,0.2090411442754751
Circus Brussels,0.5,12,Low,0.2829016319029166
Cividale,0.45454545454545453,11,Low,0.29425758813377273
Cluj-Napoca,0.3125,16,Low,0.2271210786673047
Connecticut Sun W,0.5,8,Low,0.3464823227814083
Corona Brasov,0.5555555555555556,9,Low,0.32464394339996944
Crailsheim Merlins,0.5454545454545454,11,Low,0.29425758813377273
Cremona,0.625,8,Low,0.33548006647191425
Crvena zvezda,0.6666666666666666,21,Low,0.2016230439504668
Czarni Slupsk,0.5714285714285714,7,Low,0.3666060555964672
DEAC,0.5714285714285714,7,Low,0.3666060555964672
Dabrowa Gornicza,0.5714285714285714,7,Low,0.3666060555964672
Darussafaka,0.42857142857142855,7,Low,0.3666060555964672
Decin,0.5384615384615384,13,Low,0.27099775187306424
Delikatesas Joniskis,0.42857142857142855,14,Low,0.2592296279363144
Den Bosch,0.7,10,Low,0.284030984225313
Den Helder,0.6363636363636364,11,Low,0.2842798380047696
Denain-Voltaire,0.5384615384615384,13,Low,0.27099775187306424
Dijon,0.25,16,Low,0.21217622392718746
Dinamo Bucharest,0.4444444444444444,9,Low,0.32464394339996944
Dinamo Zagreb,0.45454545454545453,11,Low,0.29425758813377273
Dome-Springs Izhevsk,0.6,10,Low,0.3036418943426615
Donar Groningen,0.5555555555555556,9,Low,0.32464394339996944
Dresden,0.36363636363636365,11,Low,0.2842798380047696
Dubai,0.8,10,Low,0.2479225685572009
Dubrava,0.375,8,Low,0.33548006647191425
Dubrovnik,0.5555555555555556,9,Low,0.32464394339996944
Dusseldorf,0.36363636363636365,11,Low,0.2842798380047696
Dynamic,0.3333333333333333,6,Low,0.3772021758705555
Dynamo Grozny,0.36363636363636365,11,Low,0.2842798380047696
Dynamo Vladivostok,0.4,10,Low,0.3036418943426615
Dziki Warszawa,0.5714285714285714,7,Low,0.3666060555964672
Enisey,0.7142857142857143,14,Low,0.23664319132398465
Esenler Erokspor,0.5833333333333334,12,Low,0.2789447708511224
Esgueira,0.0,5,Very High,0.0
Evreux,0.75,12,Low,0.245
FC Porto,0.18181818181818182,11,Low,0.22793094766745262
FMP Beograd,0.7692307692307693,13,Low,0.22903490301738305
Fenerbahce,0.4117647058823529,17,Low,0.2339546649750468
Fenerbahce 2,0.75,12,Low,0.245
Feniks 2010,0.5,6,Low,0.40008332465458574
Ferro,0.5,8,Low,0.3464823227814083
Feyenoord,0.4,10,Low,0.3036418943426615
Final Spor,0.5,12,Low,0.2829016319029166
Flamengo,0.8333333333333334,6,Low,0.2982045035305904
Forli,0.75,12,Low,0.245
Fortitudo Bologna,0.6363636363636364,11,Low,0.2842798380047696
Fos-sur-Mer,0.38461538461538464,13,Low,0.26446672582181185
Franca,0.6,5,Low,0.4294144850840502
Frankfurt,0.375,8,Low,0.33548006647191425
Fribourg Olympic,0.375,16,Low,0.23722022995520428
Furstenfeld,0.625,8,Low,0.33548006647191425
GKK Sibenka,0.8181818181818182,11,Low,0.2279309476674526
GTK Gliwice,0.2857142857142857,7,Low,0.3346640106136302
Galatasaray,0.45454545454545453,11,Low,0.29425758813377273
Galitos Aveiro,0.8571428571428571,7,Low,0.25922962793631443
Galitos Barreiro,0.6,5,Low,0.4294144850840502
Galomar,0.6,5,Low,0.4294144850840502
Gaziantep,0.4166666666666667,12,Low,0.27894477085112235
Gdynia,0.14285714285714285,7,Low,0.25922962793631443
Geneva Lions,0.4444444444444444,9,Low,0.32464394339996944
Giessen,0.6363636363636364,11,Low,0.2842798380047696
Gimnasia,0.42857142857142855,7,Low,0.3666060555964672
Ginasio,0.42857142857142855,7,Low,0.3666060555964672
Gornik Walbrzych,0.875,8,Low,0.2291765149399039
Gostivar,0.6666666666666666,6,Low,0.3772021758705555
Gottingen,0.25,8,Low,0.3000624934909393
Goverla,0.7142857142857143,7,Low,0.3346640106136302
Goyang Sono,0.6363636363636364,11,Low,0.2842798380047696
Gran Canaria,0.7777777777777778,9,Low,0.27161661029914536
Gravelines-Dunkerque,0.7777777777777778,9,Low,0.27161661029914536
Graz UBSC,0.625,8,Low,0.33548006647191425
Hamburg,0.6,15,Low,0.2479225685572009
Hana 1Q W,0.8333333333333334,6,Low,0.2982045035305904
Hapoel Jerusalem,0.4,10,Low,0.3036418943426615
Hapoel Tel-Aviv,0.75,8,Low,0.3000624934909393
Harem Spor,0.5,12,Low,0.2829016319029166
Heidelberg,0.5454545454545454,11,Low,0.29425758813377273
Helios Domzale,0.7692307692307693,13,Low,0.22903490301738305
Helsinki Seagulls,0.6,10,Low,0.3036418943426615
Honka,0.8333333333333334,12,Low,0.21086242662684823
Hyeres-Toulon,0.46153846153846156,13,Low,0.27099775187306424
Igokea,0.46153846153846156,13,Low,0.27099775187306424
Ilirija,0.6666666666666666,12,Low,0.2667222164363905
Illawarra Hawks,0.5454545454545454,11,Low,0.29425758813377273
Illiabum,0.5714285714285714,7,Low,0.3666060555964672
Imortal,0.4,5,Low,0.4294144850840502
Imortal B,1.0,6,Very High,0.0
Independiente de Oliva,0.4444444444444444,9,Low,0.32464394339996944
Instituto de Cordoba,0.875,8,Low,0.2291765149399039
Inter Bratislava,0.5,12,Low,0.2829016319029166
Irkutsk,0.45454545454545453,11,Low,0.29425758813377273
Iskra Svit,0.6,10,Low,0.3036418943426615
Istanbul Anka Spor,0.2727272727272727,11,Low,0.2631919879849005
JL Bourg,0.5882352941176471,17,Low,0.2339546649750468
Jena,0.36363636363636365,11,Low,0.2842798380047696
Jindrichuv Hradec,0.5384615384615384,13,Low,0.27099775187306424
Joker,0.5,10,Low,0.3099032106965012
Jonava,0.5,12,Low,0.2829016319029166
Joventut Badalona,0.7777777777777778,9,Low,0.27161661029914536
JuVi Cremona,0.5833333333333334,12,Low,0.2789447708511224
Jurbarkas,0.4375,16,Low,0.24307840170405925
Juventus,0.7142857142857143,14,Low,0.23664319132398465
KB Stars W,0.8333333333333334,6,Low,0.2982045035305904
KCC Egis,0.8181818181818182,11,Low,0.2279309476674526
KK Bosna,0.625,8,Low,0.33548006647191425
KK Krka Novo mesto,0.5555555555555556,18,Low,0.2295579338492601
KK Metalac,0.8,5,Low,0.350615458871967
KK Mladost SP,0.42857142857142855,7,Low,0.3666060555964672
KK Triglav Kranj,0.625,8,Low,0.33548006647191425
KTE-Duna,0.625,8,Low,0.33548006647191425
KTP Kotka Basket,0.6363636363636364,11,Low,0.2842798380047696
Kapakli Spor,0.46153846153846156,13,Low,0.27099775187306424
Kapfenberg Bulls,0.3333333333333333,9,Low,0.3079842869168074
Karhu Basket,0.6,10,Low,0.3036418943426615
Karsiyaka,0.7272727272727273,11,Low,0.2631919879849005
Kataja,0.5,10,Low,0.3099032106965012
Keila Coolbet,0.42857142857142855,7,Low,0.3666060555964672
Keila KK,0.25,8,Low,0.3000624934909393
Keravnos,0.5,12,Low,0.2829016319029166
Khimki M.,0.6666666666666666,9,Low,0.3079842869168074
Kirchheim,0.45454545454545453,11,Low,0.29425758813377273
Klosterneuburg Dukes,0.625,8,Low,0.33548006647191425
KoGas,0.75,12,Low,0.245
Koblenz,0.5,10,Low,0.3099032106965012
Kobrat,0.5,10,Low,0.3099032106965012
Kolossos Rhodes,0.6363636363636364,11,Low,0.2842798380047696
Konya BBSK,0.3333333333333333,12,Low,0.2667222164363905
Kormend,0.625,8,Low,0.33548006647191425
Kortrijk,0.18181818181818182,11,Low,0.22793094766745262
Kouvot Kouvola,0.5,10,Low,0.3099032106965012
Kozuv,0.5,6,Low,0.40008332465458574
Kretinga,0.42857142857142855,14,Low,0.2592296279363144
Kryvbas,0.5714285714285714,7,Low,0.3666060555964672
Kutaisi,0.5714285714285714,7,Low,0.3666060555964672
Kvarner,0.5555555555555556,9,Low,0.32464394339996944
Kyiv Basket,0.7142857142857143,7,Low,0.3346640106136302
LG Sakers,0.9090909090909091,11,Low,0.16988969772012374
LTH Castings,0.25,8,Low,0.3000624934909393
LWD Basket,0.8,10,Low,0.2479225685572009
La Rochelle,0.4444444444444444,9,Low,0.32464394339996944
La Union,0.42857142857142855,7,Low,0.3666060555964672
Las Vegas Aces W,0.875,8,Low,0.2291765149399039
Latvijas Universitate,0.7,10,Low,0.284030984225313
Lausanne Basket,0.5714285714285714,7,Low,0.3666060555964672
Lavrio,0.14285714285714285,7,Low,0.25922962793631443
Le Mans,0.5555555555555556,9,Low,0.32464394339996944
Le Portel,0.8666666666666667,15,Low,0.17203066048861215
Legia,0.8571428571428571,7,Low,0.25922962793631443
